merchant_id,nama,kategori,sub_kategori,tipe,kota,kecamatan,is_bni_acquiring,produk_bni,avg_omzet_bulanan,degree,weighted_degree,pagerank,betweenness,community_id,community_size,connected_bni_ratio,avg_neighbor_jaccard,n_customers,is_hub,customer_density,log_omzet,lama_beroperasi_tahun,jumlah_karyawan,rating_google,jumlah_outlet,has_rating,has_website,has_social_media,in_graph,priority_score,priority_rank,priority_category,predicted_priority,priority_probability
M0467,UD Adikara Retail Mandiri,Grocery,supermarket,retailer,Bekasi,Kemang Pratama,Ya,QRIS,660319578.0,5.0,0.283248,0.0019772136890556,0.0137099041533546,8,46.0,0.2,0.0566496,32.0,0,5.333333333333333,20.30823448639868,15.0,24.0,4.2,2.0,1,1,1,True,0.31345506418225483,348,Rendah,0,0.31345506418225483
M0465,Grosir Sembako Sentosa,Grocery,supermarket,supplier,Bandung,Setiabudhi,Ya,QRIS + EDC,959968578.0,4.0,0.255388,0.0018742811212079,0.0089150159744408,13,28.0,0.5,0.063847,25.0,0,5.0,20.68241111168218,21.0,24.0,4.1,4.0,1,0,1,True,0.35034057139276525,253,Rendah,0,0.35034057139276525
M0463,UD Sahabat Grosir Sejahtera,Grocery,distributor,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,2035023054.0,7.0,0.396542,0.0028700127369181,0.024782108626198,1,29.0,0.4285714285714285,0.0566488571428571,35.0,1,4.375,21.433772985015125,17.0,29.0,4.1,4.0,1,1,1,True,0.5135889778018096,87,Tinggi,1,0.5135889778018096
M0462,Minimarket Kencana Sejati,Grocery,toko_kelontong,retailer,Jakarta,Senayan,Ya,QRIS,881498383.0,10.0,0.611677,0.0040656588245754,0.0376025559105431,18,41.0,0.5,0.0611677,35.0,1,3.1818181818181817,20.59713372656172,16.0,41.0,4.1,6.0,1,1,1,True,0.7479986915522894,13,Tinggi,1,0.7479986915522894
M0461,Minimarket Karya Asri,Grocery,minimarket,retailer,Depok,Cimanggis,Ya,QRIS,24126463.0,6.0,0.352342,0.0022950499396745,0.0193738019169329,7,67.0,0.5,0.0587236666666666,25.0,1,3.571428571428572,16.99881988728595,16.0,22.0,3.8,2.0,1,0,1,True,0.45395571762202497,146,Sedang,0,0.45395571762202497
M0460,Pusat Grosir Lentera Pilihan,Grocery,minimarket,supplier,Bekasi,Jababeka,Ya,QRIS + EDC,377735449.0,5.0,0.320847,0.0021535993726817,0.0059501597444089,1,29.0,0.8,0.0641694,25.0,0,4.166666666666667,19.749704640837248,27.0,20.0,3.9,5.0,1,0,1,True,0.4869838845013845,105,Sedang,0,0.4869838845013845
M0063,Warung Bu Rina,F&B,cafe,retailer,Bandung,Braga,Ya,QRIS + EDC,1981949030.0,5.0,0.302721,0.0023848551305752,0.0108677316293929,9,20.0,0.6,0.0605441999999999,29.0,0,4.833333333333333,21.407346556580052,14.0,24.0,3.7,5.0,1,1,0,True,0.4489605951511926,152,Sedang,0,0.4489605951511926
M0062,Dapur Bu Maya,F&B,warung,retailer,Bogor,Sentul,Ya,QRIS + EDC,33323312.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.32176780009201,9.0,12.0,3.6,2.0,1,1,0,False,0.0,628,Tidak Teranalisis,0,0.0
M0061,Kedai Langgeng Baru,F&B,warung,retailer,Bandung,Dago,Ya,QRIS + EDC,616228521.0,2.0,0.11438,0.0009765268430201,0.0011297124600638,18,41.0,0.0,0.05719,25.0,0,8.333333333333334,20.239128429975462,22.0,22.0,3.8,4.0,1,0,1,True,0.07422692574780557,575,Rendah,0,0.07422692574780557
M0060,Kafe Sentosa Cemerlang,F&B,bakery,retailer,Bandung,Cihampelas,Ya,QRIS,544749479.0,4.0,0.259729,0.001856405846424,0.0042172523961661,9,20.0,0.25,0.06493225,30.0,0,6.0,20.115836577222236,23.0,40.0,0.0,5.0,0,1,0,True,0.2877377074242188,382,Rendah,0,0.2877377074242188
M0059,Sejahtera Boga Distribusi,F&B,catering,supplier,Jakarta,Thamrin,Ya,QRIS + EDC,3332772671.0,5.0,0.280858,0.0022738968906939,0.0121201277955271,1,29.0,0.6,0.0561716,36.0,0,6.0,21.92707042872541,24.0,33.0,4.4,5.0,1,1,1,True,0.4346602320432347,165,Sedang,0,0.4346602320432347
M0058,Bakery Adikara Sukses,F&B,cafe,retailer,Depok,Cinere,Ya,QRIS,374919233.0,3.0,0.197685,0.0015358357265027,0.0041814696485623,6,16.0,0.3333333333333333,0.065895,26.0,0,6.5,19.742221184737943,13.0,22.0,4.1,3.0,1,1,1,True,0.2448421416385357,473,Rendah,0,0.2448421416385357
M0053,Grosir Bahan Pangan Mandala,F&B,catering,supplier,Tangerang,Karawaci,Ya,QRIS,27575471.0,1.0,0.073171,0.0006587984277961,0.0,12,58.0,0.0,0.073171,12.0,0,6.0,17.13243723991111,16.0,18.0,0.0,3.0,0,1,1,True,0.01653933169560153,595,Rendah,0,0.01653933169560153
M0022,Gemilang Rasa Distribusi,F&B,catering,supplier,Bekasi,Grand Galaxy,Ya,QRIS,532351642.0,6.0,0.326195,0.0021755009163904,0.0204421725239616,3,76.0,0.8333333333333334,0.0543658333333333,30.0,1,4.285714285714286,20.09281481203552,16.0,43.0,3.6,3.0,1,0,0,True,0.5211561919676413,80,Tinggi,1,0.5211561919676413
M0052,Distribusi Boga Gemilang,F&B,catering,supplier,Tangerang,BSD,Ya,QRIS,23610849.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,16.97721691010785,14.0,22.0,3.9,2.0,1,1,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0051,Dapur Mbak Ayu,F&B,catering,retailer,Tangerang,Cipondoh,Ya,QRIS + EDC,215751215.0,5.0,0.339724,0.0020812176875789,0.0119463258785942,12,58.0,0.6,0.0679448,19.0,0,3.1666666666666665,19.189636524064884,14.0,22.0,3.8,7.0,1,1,0,True,0.4369309979388259,161,Sedang,0,0.4369309979388259
M0050,PT Cakrawala Rasa Utama,F&B,warung,retailer,Jakarta,Menteng,Ya,QRIS + EDC,1663580485.0,4.0,0.206025,0.0015276336421649,0.0139961661341853,5,19.0,0.75,0.05150625,47.0,0,9.4,21.232238035781062,22.0,20.0,3.7,6.0,1,0,1,True,0.3734657451703773,233,Sedang,0,0.3734657451703773
M0048,Agen Bahan Kue Bu Lestari,F&B,warung,supplier,Tangerang,Alam Sutera,Ya,QRIS + EDC,777585453.0,3.0,0.161224,0.0013367398814101,0.0085111821086261,15,53.0,0.3333333333333333,0.0537413333333333,27.0,0,6.75,20.471704104659818,20.0,34.0,3.7,5.0,1,0,0,True,0.21995745541716225,495,Rendah,0,0.21995745541716225
M0047,Supplier Horeka Mitra,F&B,catering,supplier,Depok,Sawangan,Ya,QRIS,737187270.0,1.0,0.050847,0.0006346535998408,0.0,14,29.0,0.0,0.050847,31.0,0,15.5,20.41835251692612,12.0,34.0,4.5,5.0,1,0,0,True,0.00851059369220479,612,Rendah,0,0.00851059369220479
M0081,Distribusi Boga Prima,F&B,cafe,supplier,Jakarta,Pluit,Ya,QRIS,463506020.0,5.0,0.326054,0.0023807525349136,0.0122070287539936,17,39.0,0.4,0.0652107999999999,34.0,0,5.666666666666667,19.954329933177075,12.0,22.0,0.0,3.0,0,0,0,True,0.4051891032477909,192,Sedang,0,0.4051891032477909
M0080,UD Sahabat Sajian Internasional,F&B,warung,retailer,Bekasi,Kemang Pratama,Ya,QRIS,19054100.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,16.76279291195907,17.0,18.0,0.0,4.0,0,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0079,Kafe Mentari Sejati,F&B,cafe,retailer,Tangerang,BSD,Ya,QRIS,67940244.0,2.0,0.121429,0.0010800509670912,0.0015386581469648,14,29.0,0.5,0.0607145,22.0,0,7.333333333333333,18.03413912681326,8.0,15.0,3.7,3.0,1,0,1,True,0.2088326891064428,520,Rendah,0,0.2088326891064428
M0077,Bakery Berkah Bersama,F&B,catering,retailer,Bekasi,Harapan Indah,Ya,QRIS,29642094.0,1.0,0.055556,0.0006353000810175,0.0,15,53.0,0.0,0.055556,19.0,0,9.5,17.20470603740581,9.0,21.0,4.0,3.0,1,1,0,True,0.009876323593415,609,Rendah,0,0.009876323593415
M0076,Bakery Harmoni Abadi,F&B,bakery,retailer,Depok,Sawangan,Ya,QRIS,32308933.0,1.0,0.071429,0.000659100614254,0.0,7,67.0,0.0,0.071429,13.0,0,6.5,17.290854344374942,14.0,9.0,3.9,3.0,1,1,0,True,0.01607401970371792,596,Rendah,0,0.01607401970371792
M0075,UD Jelita Boga Niaga Raya,F&B,bakery,retailer,Bogor,Cibinong,Ya,QRIS + EDC,430963587.0,2.0,0.106519,0.0008208616681265,0.005035143769968,15,53.0,0.5,0.0532595,27.0,0,9.0,19.88153416190056,12.0,19.0,3.3,3.0,1,0,1,True,0.18554957648396614,556,Rendah,0,0.18554957648396614
M0073,Rumah Makan Mandala,F&B,catering,retailer,Jakarta,Sudirman,Ya,QRIS,18269967.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,16.720769176847455,15.0,12.0,4.2,1.0,1,1,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0071,Kafe Kencana Pilihan,F&B,cafe,retailer,Bandung,Dago,Ya,QRIS,27534473.0,2.0,0.124018,0.0009148391866424,0.0,18,41.0,0.5,0.062009,14.0,0,4.666666666666667,17.130949377536385,21.0,17.0,3.7,2.0,1,0,1,True,0.19737647022221308,543,Rendah,0,0.19737647022221308
M0069,Supplier Horeka Harmoni,F&B,bakery,supplier,Tangerang,Cipondoh,Ya,QRIS + EDC,27281556.0,1.0,0.054545,0.0006187130563685,0.0,1,29.0,1.0,0.054545,15.0,0,7.5,17.12172146409089,19.0,15.0,0.0,4.0,0,0,0,True,0.25837039746380636,444,Rendah,0,0.25837039746380636
M0037,Nusantara Pangan Center,F&B,restaurant,retailer,Jakarta,Cempaka Putih,Ya,QRIS,398655052.0,6.0,0.365289,0.0030283845943399,0.0234581469648562,14,29.0,0.3333333333333333,0.0608815,24.0,1,3.4285714285714284,19.803607072111514,12.0,23.0,0.0,3.0,0,1,0,True,0.46998094627595133,130,Sedang,0,0.46998094627595133
M0068,Kedai Sejahtera Bersama,F&B,warung,retailer,Bogor,Bogor Tengah,Ya,QRIS,24423111.0,1.0,0.056604,0.0005733505908792,0.0,3,76.0,1.0,0.056604,14.0,0,7.0,17.011040455054925,6.0,5.0,4.0,1.0,1,1,0,True,0.25560219236999027,451,Rendah,0,0.25560219236999027
M0067,Kafe Bintang Bersama,F&B,catering,retailer,Tangerang,BSD,Ya,QRIS + EDC,41003793.0,6.0,0.361585,0.0022788237360113,0.0104434504792332,12,58.0,0.5,0.0602641666666666,24.0,1,3.4285714285714284,17.529175156972702,16.0,24.0,3.9,4.0,1,0,0,True,0.4553465248193352,144,Sedang,0,0.4553465248193352
M0066,Kedai Langgeng Juara,F&B,bakery,retailer,Depok,Margonda,Ya,QRIS,503808524.0,4.0,0.220849,0.0015740090569236,0.0112153354632587,18,41.0,0.75,0.05521225,26.0,0,5.2,20.037706843137,14.0,26.0,3.9,4.0,1,1,1,True,0.38103424454692525,224,Sedang,0,0.38103424454692525
M0065,Warung Mas Bima,F&B,restaurant,retailer,Jakarta,Pluit,Ya,QRIS + EDC,57037884.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.859226254140225,13.0,18.0,3.9,2.0,1,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0064,Dapur Pak Surya,F&B,catering,retailer,Bekasi,Summarecon,Ya,QRIS,18091276.0,1.0,0.066667,0.0006197049447331,0.0,5,19.0,1.0,0.066667,22.0,0,11.0,16.710940446367026,3.0,7.0,3.3,2.0,1,0,1,True,0.26183651843595934,429,Rendah,0,0.26183651843595934
M0088,UD Prima Sajian Utama,F&B,catering,retailer,Bandung,Setiabudhi,Ya,QRIS + EDC,74554788.0,1.0,0.078947,0.0008676972371792,0.0,13,28.0,1.0,0.078947,23.0,0,11.5,18.12704483587773,7.0,17.0,4.1,2.0,1,0,0,True,0.2835579414889933,389,Rendah,0,0.2835579414889933
M0085,Rumah Makan Sejahtera,F&B,bakery,retailer,Jakarta,Pluit,Ya,QRIS + EDC,47443071.0,2.0,0.129545,0.0014052960358658,0.0031642172523961,15,53.0,1.0,0.0647725,20.0,0,6.666666666666667,17.675041066037807,16.0,18.0,3.8,3.0,1,1,1,True,0.36008435913980136,245,Sedang,0,0.36008435913980136
M0644,Sinar Auto Distribusi,Automotive,bengkel,supplier,Bandung,Setiabudhi,Ya,QRIS + EDC,2876642661.0,7.0,0.459157,0.0034276143345868,0.0112766773162939,4,30.0,1.0,0.0655938571428571,46.0,1,5.75,21.779889708727,18.0,22.0,0.0,4.0,0,0,0,True,0.7150836509270456,14,Tinggi,1,0.7150836509270456
M0642,Ban & Oli Karya Mandiri,Automotive,sparepart,retailer,Bekasi,Jababeka,Ya,QRIS + EDC,603921763.0,1.0,0.064935,0.0007101339120528,0.0,15,53.0,1.0,0.064935,33.0,0,16.5,20.218955217708054,12.0,31.0,3.9,3.0,1,0,1,True,0.26801895726292735,407,Rendah,0,0.26801895726292735
M0641,Ban & Oli Nawasena Maju,Automotive,accessories,retailer,Bekasi,Harapan Indah,Ya,QRIS + EDC,309038259.0,5.0,0.277611,0.0019789549881169,0.0165111821086261,15,53.0,0.2,0.0555222,32.0,0,5.333333333333333,19.54897564596733,10.0,23.0,3.7,2.0,1,0,1,True,0.31200563234268114,351,Rendah,0,0.31200563234268114
M0639,PT Tunas Auto Indonesia,Automotive,bengkel,retailer,Bogor,Dramaga,Ya,QRIS,3208711669.0,3.0,0.169684,0.0013754374750735,0.0078210862619808,10,26.0,0.6666666666666666,0.0565613333333333,53.0,0,13.25,21.889135344616648,12.0,37.0,0.0,4.0,0,0,1,True,0.30851190473040413,360,Rendah,0,0.30851190473040413
M0636,Ban & Oli Sejahtera Asri,Automotive,accessories,retailer,Jakarta,Kuningan,Ya,QRIS,24101031.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,16.99776521912083,3.0,11.0,0.0,1.0,0,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0635,CV Sentosa Garage Persada,Automotive,dealer,retailer,Jakarta,Thamrin,Ya,QRIS + EDC,3089918927.0,3.0,0.154529,0.0014372324918421,0.0038083067092651,14,29.0,1.0,0.0515096666666666,42.0,0,10.5,21.851410690618668,16.0,47.0,4.3,3.0,1,1,0,True,0.3921593816065289,208,Sedang,0,0.3921593816065289
M0632,Pelita Otomotif Distribusi,Automotive,dealer,supplier,Depok,Cinere,Ya,QRIS + EDC,1136523913.0,4.0,0.20976,0.0014755906086667,0.0088690095846645,17,39.0,0.25,0.05244,36.0,0,7.2,20.85124024283048,14.0,46.0,4.1,2.0,1,1,1,True,0.24567410714408425,471,Rendah,0,0.24567410714408425
M0084,Rumah Makan Anugerah,F&B,restaurant,retailer,Bekasi,Kemang Pratama,Ya,QRIS,80806833.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,18.207572099122626,10.0,22.0,4.4,3.0,1,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0083,Kedai Prima Sejati,F&B,warung,retailer,Depok,Cinere,Ya,QRIS + EDC,25499321.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.054162421539885,11.0,22.0,3.5,2.0,1,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0082,Rumah Makan Mentari,F&B,bakery,retailer,Tangerang,Cipondoh,Ya,QRIS,46056429.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.64537794175416,17.0,22.0,4.0,6.0,1,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0104,CV Adikara Sajian Utama,F&B,catering,retailer,Bogor,Tanah Sareal,Ya,QRIS,218706030.0,4.0,0.215619,0.0016043201123322,0.0061699680511182,1,29.0,0.25,0.05390475,32.0,0,6.4,19.203239061855705,15.0,23.0,3.9,4.0,1,0,1,True,0.2568051512046668,447,Rendah,0,0.2568051512046668
M0103,Berkah Pangan Market,F&B,catering,retailer,Bekasi,Grand Galaxy,Ya,QRIS + EDC,2257022115.0,1.0,0.05,0.0005362954692039,0.0,0,44.0,1.0,0.05,37.0,0,18.5,21.53731213358183,19.0,51.0,3.9,5.0,1,0,1,True,0.2510216749805667,464,Rendah,0,0.2510216749805667
M0101,Mandala Sajian House,F&B,bakery,retailer,Depok,Margonda,Ya,QRIS + EDC,780991185.0,3.0,0.161688,0.0012398353034121,0.006614696485623,8,46.0,0.3333333333333333,0.053896,29.0,0,7.25,20.476074422208907,14.0,33.0,4.1,6.0,1,0,1,True,0.21294265907148296,512,Rendah,0,0.21294265907148296
M0132,Kafe Arunika Juara,F&B,restaurant,retailer,Bogor,Bogor Tengah,Ya,QRIS + EDC,481851032.0,3.0,0.199563,0.0012729820404799,0.0003578274760383,3,76.0,0.6666666666666666,0.066521,24.0,0,6.0,19.993145564079963,9.0,34.0,3.9,3.0,1,0,0,True,0.3093212107633677,357,Rendah,0,0.3093212107633677
M0597,Garasi Pak Darto,Automotive,accessories,retailer,Bandung,Dago,Ya,QRIS + EDC,583953275.0,7.0,0.429394,0.0030571610036579,0.0158977635782747,4,30.0,0.2857142857142857,0.061342,30.0,1,3.75,20.185331530742467,12.0,32.0,3.8,2.0,1,1,0,True,0.5008683243596769,96,Sedang,0,0.5008683243596769
M0628,Garasi Pak Wahyu,Automotive,accessories,retailer,Jakarta,Cempaka Putih,Ya,QRIS + EDC,442020119.0,2.0,0.112699,0.000923012676413,0.0026888178913738,17,39.0,0.0,0.0563495,33.0,0,11.0,19.90686595936794,17.0,54.0,4.3,1.0,1,1,1,True,0.06981086534270001,577,Rendah,0,0.06981086534270001
M0626,Garasi Mbak Ayu,Automotive,bengkel,retailer,Depok,Sawangan,Ya,QRIS + EDC,34919673.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,17.368560953267814,6.0,30.0,4.3,1.0,1,0,0,False,0.0,628,Tidak Teranalisis,0,0.0
M0622,Distributor Sparepart Kencana,Automotive,dealer,supplier,Bogor,Dramaga,Ya,QRIS,58744400.0,2.0,0.1509309999999999,0.0015456592014806,0.0063182108626198,0,44.0,1.0,0.0754654999999999,17.0,0,5.666666666666667,17.888706404319347,7.0,28.0,0.0,3.0,0,0,1,True,0.3764192022119448,228,Sedang,0,0.3764192022119448
M0618,CV Sinar Distribusi Nusantara,Automotive,bengkel,supplier,Tangerang,Karawaci,Ya,QRIS,309019780.0,2.0,0.138745,0.0010556216860009,0.0010683706070287,3,76.0,1.0,0.0693725,21.0,0,7.0,19.5489158489943,14.0,46.0,3.8,4.0,1,0,1,True,0.3368783529905994,278,Rendah,0,0.3368783529905994
M0617,Garasi Bu Rina,Automotive,sparepart,retailer,Depok,Margonda,Ya,QRIS + EDC,93068556.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0,0.0,18.34884695158269,12.0,23.0,0.0,2.0,0,0,1,False,0.0,628,Tidak Teranalisis,0,0.0
M0616,Distributor Sparepart Pelita,Automotive,dealer,supplier,Bogor,Tanah Sareal,Ya,QRIS + EDC,699597768.0,11.0,0.642176,0.0039435022072649,0.0247974440894568,3,76.0,0.8181818181818182,0.0583796363636363,34.0,1,2.833333333333333,20.366016112138517,24.0,42.0,3.8,3.0,1,0,1,True,0.8498017177541494,5,Tinggi,1,0.8498017177541494
M0614,Motor Care Berseri,Automotive,accessories,retailer,Depok,Cinere,Ya,QRIS,36285310.0,2.0,0.129794,0.0009934779058381,0.0010785942492012,10,26.0,0.0,0.064897,14.0,0,4.666666666666667,17.406923561692505,8.0,11.0,3.5,1.0,1,0,1,True,0.07979114198084174,572,Rendah,0,0.07979114198084174
